Service events log started at 2025-11-09T07:03:12.178267
==================================================
[2025-11-09T07:04:18.362903] SERVICE_DOWN | Team: sohail | Service: TCP/2222 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:18.362961] SERVICE_DOWN | Team: sohail | Service: TCP/8081 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:18.362985] SERVICE_DOWN | Team: sohail | Service: TCP/8001 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:18.868809] SERVICE_DOWN | Team: abcd | Service: TCP/2222 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:18.868852] SERVICE_DOWN | Team: abcd | Service: TCP/8081 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:18.868867] SERVICE_DOWN | Team: abcd | Service: TCP/9000 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:21.871755] SERVICE_DOWN | Team: dharun | Service: TCP/2222 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:21.871903] SERVICE_DOWN | Team: dharun | Service: TCP/8081 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:21.871975] SERVICE_DOWN | Team: dharun | Service: TCP/8001 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:21.872827] SERVICE_DOWN | Team: narendhar | Service: TCP/2222 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:21.872892] SERVICE_DOWN | Team: narendhar | Service: TCP/8081 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:21.872936] SERVICE_DOWN | Team: narendhar | Service: TCP/8001 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:28.356722] SERVICE_DOWN | Team: sohail | Service: TCP/2222 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:28.356768] SERVICE_DOWN | Team: sohail | Service: TCP/8081 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:28.356783] SERVICE_DOWN | Team: sohail | Service: TCP/8001 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:28.865972] SERVICE_DOWN | Team: abcd | Service: TCP/2222 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:28.866085] SERVICE_DOWN | Team: abcd | Service: TCP/8081 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:28.866117] SERVICE_DOWN | Team: abcd | Service: TCP/9000 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:31.862807] SERVICE_DOWN | Team: narendhar | Service: TCP/2222 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:31.862927] SERVICE_DOWN | Team: narendhar | Service: TCP/8081 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:31.862968] SERVICE_DOWN | Team: narendhar | Service: TCP/8001 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:31.864929] SERVICE_DOWN | Team: dharun | Service: TCP/2222 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:31.865005] SERVICE_DOWN | Team: dharun | Service: TCP/8081 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:31.865042] SERVICE_DOWN | Team: dharun | Service: TCP/8001 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:38.844913] SERVICE_DOWN | Team: abcd | Service: TCP/2222 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:38.845062] SERVICE_DOWN | Team: abcd | Service: TCP/8081 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:38.845127] SERVICE_DOWN | Team: abcd | Service: TCP/9000 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:41.844411] SERVICE_DOWN | Team: narendhar | Service: TCP/2222 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:41.844531] SERVICE_DOWN | Team: narendhar | Service: TCP/8081 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:41.844586] SERVICE_DOWN | Team: narendhar | Service: TCP/8001 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:48.871547] SERVICE_DOWN | Team: abcd | Service: TCP/2222 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:48.871647] SERVICE_DOWN | Team: abcd | Service: TCP/8081 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:48.871691] SERVICE_DOWN | Team: abcd | Service: TCP/9000 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:51.870187] SERVICE_DOWN | Team: narendhar | Service: TCP/2222 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:51.870286] SERVICE_DOWN | Team: narendhar | Service: TCP/8081 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:51.870328] SERVICE_DOWN | Team: narendhar | Service: TCP/8001 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:04:58.845186] SERVICE_DOWN | Team: abcd | Service: TCP/2222 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:58.845283] SERVICE_DOWN | Team: abcd | Service: TCP/8081 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:04:58.845323] SERVICE_DOWN | Team: abcd | Service: TCP/9000 | Points Lost: 10 | Reason: Port not open (state: closed)
[2025-11-09T07:05:01.848933] SERVICE_DOWN | Team: narendhar | Service: TCP/2222 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:05:01.849066] SERVICE_DOWN | Team: narendhar | Service: TCP/8081 | Points Lost: 10 | Reason: Port not open (state: filtered)
[2025-11-09T07:05:01.849117] SERVICE_DOWN | Team: narendhar | Service: TCP/8001 | Points Lost: 10 | Reason: Port not open (state: filtered)
